"app.year","livestock.group","app.tan.min","emis.n.min","app.tan.max","emis.n.max","app.tan.tot","emis.n.tot","app.tan.n","emis.n.n","ef","app.man.lwr","app.tan.lwr","emis.n.lwr","ef.lwr","app.man.upr","app.tan.upr","emis.n.upr","ef.upr"
2019,"Dairy cattle",350,71.01,720,257.1,1070,328.1,2,2,0.3066,356700,957.3,208.4,0.1942,356700,1201,432.9,0.3882
2019,"Swine (finishing pigs)",1240,128.7,3520,504.6,4760,633.3,2,2,0.1331,1190000,4258,543.5,0.1199,1190000,5342,862.1,0.1799
2020,"Dairy cattle",420,80.86,1000,266.2,1420,347,2,2,0.2444,405700,1270,254.6,0.1766,405700,1594,466.9,0.32
2020,"Swine (finishing pigs)",1190,121.3,3300,290.5,4490,411.9,2,2,0.09173,1089000,4017,317.1,0.0768,1089000,5039,553.5,0.1184
2021,"Dairy cattle",350,71.01,720,139.3,1070,210.3,2,2,0.1966,356700,957.3,162.3,0.149,356700,1201,246.1,0.2174
2021,"Swine (finishing pigs)",1240,94.03,3520,310.2,4760,404.2,2,2,0.08492,1190000,4258,291,0.06158,1190000,5342,573.1,0.1145
