loc.key,app.year,app.tan,app.tan.min,app.tan.max,emis.n,emis.n.min,emis.n.max,ef
Bavaria,2010,15900,900,9000,5147.9921497949,406.10416796514,2705.17995797767,0.323773091182069
Bavaria,2011,15900,900,9000,5147.9921497949,406.10416796514,2705.17995797767,0.323773091182069
Lower Saxony,2010,42000,3000,24000,14499.2325653339,1283.89005043453,7213.81322127379,0.34521982298414
Lower Saxony,2011,42000,3000,24000,14499.2325653339,1283.89005043453,7213.81322127379,0.34521982298414
Bavaria,2020,23850,1350,13500,6969.0691846853,475.32036951881,3607.80260918233,0.292204158687015
Bavaria,2021,23850,1350,13500,5244.67033123108,352.917208470891,3607.80260918233,0.21990231996776
Lower Saxony,2020,63000,4500,36000,19066.8739959015,1584.40123172937,9620.80695781953,0.302648793585738
Lower Saxony,2021,63000,4500,36000,18658.8634590751,1176.39069490297,9620.80695781953,0.296172435858335
